Date,Close,High,Low,Open,Volume
,VNQ,VNQ,VNQ,VNQ,VNQ
2016-03-24,55.52758026123047,55.575596491238464,55.03370128116674,55.410970164550555,2839400
2016-03-28,56.028350830078125,56.15182193941003,55.50017206055659,55.513888746758376,3885100
2016-03-29,57.242462158203125,57.269900755891605,55.925440869420605,56.09692817994054,5022700
2016-03-30,57.132720947265625,57.509989942856386,57.08470470297669,57.386524086151795,3503100
2016-03-31,57.48253631591797,57.55799113511889,57.00922976518062,57.125839855445214,7533800
2016-04-01,57.40708541870117,57.50311787999475,57.05038893385933,57.36592491144918,5267300
2016-04-04,57.32477569580078,57.57857878940016,57.1258497954192,57.52370159618237,6908900
2016-04-05,56.947509765625,57.221890537997105,56.803461037639686,57.07098085152355,3251300
2016-04-06,57.084686279296875,57.11212487194611,56.65253498679209,56.96807618556999,2940500
2016-04-07,56.727996826171875,57.084693341363064,56.47419897117742,56.9475003611445,2339400
2016-04-08,57.043548583984375,57.27676884330091,56.89949461984411,57.022965708122875,3370300
2016-04-11,56.92692184448242,57.31791267366526,56.91320516336066,57.153286333319066,2848100
2016-04-12,57.338497161865234,57.47569015635738,56.90635100431462,57.05039972349816,2504600
2016-04-13,57.084686279296875,57.53055425143806,56.89262136412872,57.503115658788836,2827000
2016-04-14,56.76917266845703,57.0915697173184,56.61826296614928,57.050409195448154,2044200
2016-04-15,57.1944465637207,57.33163955370577,56.59081310791879,56.87891053682124,2429100
2016-04-18,57.468807220458984,57.47566817590416,57.02980027272904,57.10525508249909,2347400
2016-04-19,57.49626159667969,57.62659361904757,57.263041381260386,57.62659361904757,3137200
2016-04-20,56.5222282409668,57.61974616893757,56.47421199516115,57.503136033892176,4085800
2016-04-21,55.51386642456055,56.61138404765363,55.34237913240923,56.49477394500117,5046100
2016-04-22,56.11751174926758,56.213544234635386,55.43156243471008,55.51387823647304,3124400
2016-04-25,56.58395004272461,56.590811000312705,55.92543941545352,55.93916133062971,2385600
2016-04-26,56.80344772338867,57.12584466285541,56.597666117376534,56.78973104300521,3190800
2016-04-27,56.76917266845703,56.878921848894535,56.151817174188295,56.78975031270291,3244500
2016-04-28,56.65254211425781,56.995516715458194,56.206679319398994,56.426182854832156,2870600
2016-04-29,56.13124084472656,56.501654149964146,55.58247922954972,56.37818304821828,4117300
2016-05-02,57.00236511230469,57.14641378506234,56.09691257398806,56.09691257398806,4008000
2016-05-03,57.09156036376953,57.13271564551864,56.652548013809266,56.98180596793505,3305700
2016-05-04,57.907840728759766,58.017595132721084,56.73486801165784,56.73486801165784,4138600
2016-05-05,58.072471618652344,58.1822207878824,57.70891408504677,57.98329485818885,3324300
